"slug","source","status","matched_title"
"dell-vostro-3530","amazon","ok","Dell Vostro 15 3530 Business Laptop, Intel 10-Core i5-1334U, 120Hz FHD Display, 16GB RAM, 512GB PCIe SSD, WiFi, Bluetooth,..."
"lenovo-legion-5","amazon","ok","Lenovo Legion 5 Gen 10 Gaming Laptop: Ryzen 7 260, NVidia RTX 5060, 16GB DDR5 RAM, 512GB SSD, 15.3&quot; WUXGA (1920x1200) 165H..."
"lenovo-yoga-slim-7","amazon","ok","Lenovo Yoga Slim 7i Aura Edition Copilot + Laptop 15.3&quot; Touchscreen IPS 2.8K Display (Intel Ultra 7-258V, 32GB LPDDR5X, 1T..."
"lenovo-loq-15","amazon","ok","Lenovo LOQ 15 Gaming Laptop - RTX 4050 - Intel Core i5-12450HX Beat AMD Ryzen 7 4800H -15.6&quot; FHD 144Hz - 32GB RAM| 1TB SSD..."
"lenovo-thinkpad-e14-gen-6","amazon","ok","Lenovo ThinkPad E14 Gen 6 Business Laptop (14&quot; FHD+ Anti-Glare, AMD Ryzen 5 7535U, 16GB DDR5 RAM, 512GB SSD, 6-Core (Beats..."
"lenovo-ideapad-slim-5","amazon","ok","Lenovo 2024 IdeaPad Slim 5 16” WUXGA IPS Touch Laptop 10-Core Intel Core 7 150U Graphics 16GB LPDDR5 1TB SSD USB-C w/DP Wi..."
"lenovo-ideapad-1","amazon","ok","Lenovo IdeaPad 1 Everyday Laptop, 14&quot; HD Display, 8GB RAM, 384GB Storage(128GB eMMC + 256GB PCIe), 1 Yr Office 365 Include..."
"asus-zenbook-14-oled","amazon","ok","ASUS Zenbook 14 OLED Touchscreen AI PC Laptop,14&quot; FHD+, Intel Core Ultra 7 255H (&gt; i9-13900H), 16GB DDR5 RAM, Backlit, 2x ..."
"asus-zenbook-s-16","amazon","ok","ASUS Zenbook S 16 Laptop, AMD Ryzen AI 9 365, 24 GB DDR5 RAM, 1 TB PCIe SSD, 16” 3K Touch Screen (2880x1800), AMD Radeon 8..."
"asus-rog-strix-g16","amazon","ok","ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms, NVIDIA® GeForce RTX™ 5060, Intel® Core™ i7 Processor 14..."
"asus-tuf-gaming-a15","amazon","ok","ASUS TUF Gaming A15 Gaming Laptop, 15.6” FHD 16:9 144Hz Display, AMD Ryzen™ 5 7535HS Processor, NVIDIA® GeForce RTX™ 3050,..."
"asus-vivobook-15","amazon","ok","ASUS Vivobook 15 Laptop, 15.6&quot; FHD, Intel Core i9-13900H, 32GB RAM, 1TB SSD, Next Gen AI Ready, Physical Webcam Shield, Ba..."
"asus-vivobook-go-15","amazon","ok","ASUS Vivobook Go 15 15.6” FHD 60Hz Laptop with Intel Processor N150, Intel UHD Graphics, 8GB RAM, 128GB SSD, Mixed Black"
"ipad-pro-13-m4","amazon","ok","Apple iPad Pro 2024 (13-inch, Wi-Fi, 256GB) - Space Black (Renewed)"
"ipad-air-13-m2","amazon","ok","Apple 2024 iPad Air 13-inch, Wi-Fi, 128GB - Space Gray (Renewed)"
"ipad-air-11-m3","amazon","ok","Apple iPad Air, 2025 with M3 Chip (11-inch, Wi-Fi, 1TB) - Space Gray (Renewed)"
"ipad-11th-gen-a16","amazon","ok","Apple iPad, 2025 with A16 Chip (11-inch, Wi-Fi + Cellular, 128GB) - Blue (Renewed)"
"ipad-mini-a17-pro","amazon","ok","2024 Apple iPad Mini with A17 Pro Chip (8.3-inch, Wi-Fi+Cellular, 256GB) - Space Gray (Renewed)"
"samsung-galaxy-tab-s9-fe","amazon","ok","Samsung Galaxy Tab S9 FE+ Plus Android Tablet (12.4&quot; Touchscreen, 8GB RAM, 128GB Storage + 128GB SD Card, 18-Hr Long Batte..."
"oneplus-pad-2","amazon","ok","OnePlus Pad 2 Qualcomm Snapdragon 256 Gb 12.1&quot; 12 Gb Wi-Fi 7, W129173405 (Gb 12.1 12 Gb Wi-Fi 7 (802.11Be) Gray)"
"xiaomi-pad-7","amazon","ok","XIAOMI Pad 7 Ai WiFi Version Global (No Calls or Text) 11.2 inches 3.2K 144Hz 8850mAh Bluetooth 5.4 Four Speakers 13 Mp Mo..."
"xiaomi-pad-6","amazon","ok","XIAOMI Redmi Pad 2 PRO Only WiFi (No Calls or Text) 12.1&quot; 2.5K Octa Core 4 Speakers Global ROM 12000mAh Bluetooth Wi-Fi 6 ..."
"airpods-4-anc","amazon","ok","Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode,..."
"airpods-4","amazon","ok","Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode,..."
"bose-quietcomfort-earbuds-2024","amazon","ok","Bose QuietComfort Earbuds - True Wireless Bluetooth Earbuds with Active Noise Cancellation and Mic, USB-C Charging, IPX4 R..."
"bose-quietcomfort-headphones","amazon","ok","Bose QuietComfort Headphones - Wireless Bluetooth Headphones, Active Over Ear Noise Cancelling and Mic, USB-C Charging, De..."
"bose-soundlink-flex-2nd-gen","amazon","ok","Bose SoundLink Flex Bluetooth Speaker (2nd Gen) - Portable Outdoor Speaker with Hi-Fi Audio, Waterproof and Dustproof, US..."
"jbl-live-beam-3","","no-match","no confident match on amazon"
"jbl-tune-770nc","amazon","ok","JBL Tune 770NC - Adaptive Noise Cancelling with Smart Ambient Wireless Over-Ear Headphones, Bluetooth 5.3, Up to 70H Batte..."
"jbl-flip-7","amazon","ok","JBL Flip 7 - Portable Waterproof and Drop-Proof Speaker, Bold JBL Pro Sound with AI Sound Boost, 16Hrs of Playtime, and Pu..."
"jbl-charge-6","amazon","ok","JBL Charge 6 - Portable Waterproof &amp; Drop-Proof Bluetooth Speaker, Bold JBL Pro Sound with AI Sound Boost, 28Hrs of Playti..."
"jbl-wave-buds-2","amazon","ok","JBL Tune Buds 2 - Ghost White"
"jbl-go-4","amazon","ok","JBL JBLGO4BLKAM-Z Go 4 Portable Bluetooth Speaker, Black - Certified Refurbished"
"anker-soundcore-liberty-4-pro","amazon","ok","Soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× ..."
"anker-soundcore-space-one-pro","amazon","ok","Soundcore by Anker, Space One, Active Noise Cancelling Headphones, 2X Stronger Voice Reduction, 40H ANC Playtime, App Cont..."
"anker-soundcore-liberty-4-nc","amazon","ok","Soundcore by Anker Liberty 4 NC Wireless Earbuds, 98.5% Noise Reduction, Adaptive Noise Cancelling to Ears and Environmen..."
"anker-soundcore-p40i","amazon","ok","Soundcore P40i by Anker, Noise Cancelling Wireless Earbuds, Adaptive Noise Cancelling to Environments, Heavy Bass, 60H Pla..."
"anker-soundcore-motion-300","","no-match","no confident match on amazon"
"samsung-galaxy-buds-3","amazon","ok","SAMSUNG Galaxy Buds 3 FE (2025) True Wireless Bluetooth Earbuds, Active Noise Cancellation, Powerful Sound, Clear Calls, L..."
"samsung-galaxy-buds-fe","amazon","ok","SAMSUNG Galaxy Buds 3 FE (2025) True Wireless Bluetooth Earbuds, Active Noise Cancellation, Powerful Sound, Clear Calls, L..."
